Job,Company,Job_Type,Minimum_Experience,Posted_Date,Month,Year,Location,Degree,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15,Tag16,Tag17,Tag18,Language1,Language2,Language3,Language4,Language5,Language6,Language7,Language8,Language9,numTags,NumLag
Experimental Physicist ,ENTER BV,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Limburg, Bachelor,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Delivery Pursuit Lead,Microsoft,Full time Position,3 - 5 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Global Quality Manager,DSM,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Limburg, Master,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Business Process Consultant (Order Management R12),Canon,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Learning Technology Specialist,ING,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Master,Human Resources,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
"Marketing Strategy & Campaigns Manager, EMEA",Uber,Full time Position,3 - 5 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Two Postdoc positions (f/m),NWO,Full time Position,Entry,27/08/2016,Aug,2016, Utrecht, PhD,IT and Computer Science,Mechanical and Aerospace,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
HQ Inside Sales Advisor - Spanish and Portugese Speaking,Tesla Motors,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,Spanish,NA,NA,NA,NA,NA,NA,NA,2,2
Supply Chain Modeler,Cisco ,Full time Position,1 - 3 Years,27/08/2016,Aug,2016, Noord Holland, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Product Marketing Manager Low End,Exact,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,Spanish,NA,NA,NA,NA,NA,NA,3,3
DE MA&I EC&I - Competence Engineer,ASML,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Brabant, Bachelor,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Management Assistant EUV/DUV,ASML,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Brabant, Bachelor,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Internship Global Mobility,Heineken Group,Internship / Part Time,Entry,26/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Internship/Thesis; Provide a calculationmodel in excel about one of the facility installations,NXP Semiconductors,Internship / Part Time,Entry,26/08/2016,Aug,2016, Gelderland, Bachelor,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
C++ Map Search Funtionality Engineer,TomTom,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
C++ Engineer Algorithms,TomTom,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
EMEA Technical Support Representative,TASER International,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Senior Mobile App Developer | iOS and Android,Working Class Heroes,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Account Manager,YER,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Brabant, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,Italian,NA,NA,NA,NA,NA,2,4
Channel Workstation Specialist Benelux,Dell,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Geo ICT Specialist,MWH,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Plant EHS Supervisor,Cargill,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Chemical and Material,Electrical,Mechanical and Aerospace,Medical and Health,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,4,1
Sales Recruiter,Uber,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Human Resources,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Technical Support Engineer,Philips,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Brabant, Bachelor,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Full-Stack JavaScript Developer,Mendix,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Mobile Experience Developer,Mendix,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Full-Slice Integration Developer,Mendix,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Legal Counsel,Quintiq,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Brabant, Master,Legal,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,3,2
Procurement Program Manager,Oc??,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Limburg, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,2,2
Information Theorist,Yacht,Full time Position,Entry,26/08/2016,Aug,2016, Noord Brabant, Master,Finance and Economics,IT and Computer Science,Physics and Mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Stage-opdracht voor 2 studenten - HBO/WO - (Technische) Informatica. Extend the LSL editor with OpenSim primitives and reuse of script parts of existing scripts,Thales,Internship / Part Time,Entry,26/08/2016,Aug,2016, Overijssel, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Stage-opdracht - HBO - Informatica, Elektrotechniek, IT service management. Usage of Ethernet channel bonding in Radar",Thales,Internship / Part Time,Entry,26/08/2016,Aug,2016, Overijssel, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Stage-opdracht - Informatica, IT service management. Attribute based access control",Thales,Internship / Part Time,Entry,26/08/2016,Aug,2016, Overijssel, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Senior But Young Professional iOS Developer,Working Class Heroes,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Flevoland, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Channel Account Manager,Atos,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Utrecht, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
High Touch Sales Manager,Atos,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Utrecht, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"Sr. Strategy & Planning Associate, Central & Eastern Europe",Uber,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Logistics Production Engineer,YER,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Brabant, Master,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Country Information Security & Data Privacy Specialist,IKEA,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Business Admin and Others,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
TBR Europe Business & Fleets Development Manager,Apollo Vredestein,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Process Technologist Powders,Danone,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Utrecht, Master,Chemical and Material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Innovation Communication Intern - December,Rockstart,Internship / Part Time,Entry,26/08/2016,Aug,2016, Noord Holland, Bachelor,Marketing and Sales,Business Admin and Others,Media,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Stagiair,GE,Internship / Part Time,Entry,26/08/2016,Aug,2016, Gelderland, Bachelor,Supply Chain and Procurement,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Engine Test Technician,Segula Technologies,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Electrical,IT and Computer Science,Mechanical and Aerospace,Other Science and Tech,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,4,2
Video Systems Engineer,Liberty Global,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Electrical,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
Software Developer,IBM,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Limburg, Bachelor,IT and Computer Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,1,1
Video Advertising Specialist,YER,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,German,NA,NA,NA,NA,NA,NA,NA,3,2
Credit Controller ?C English (Nordic market),Booking.com,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
Credit Controller ?C German,Booking.com,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Noord Holland, Bachelor,Finance and Economics,Marketing and Sales,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,French,German,Italian,NA,NA,NA,NA,NA,3,4
Technology Harmonisation Engineer,RHEA,Full time Position,3 - 5 Years,26/08/2016,Aug,2016, Zuid Holland, Bachelor,Electrical,IT and Computer Science,Mechanical and Aerospace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,3,1
(senior) ALM cluster manager,Rabobank,Full time Position,1 - 3 Years,26/08/2016,Aug,2016, Utrecht, Master,Finance and Economics,Business Admin and Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,NA,NA,NA,NA,NA,NA,NA,2,1
